Conjunto,Metodo 1,Metodo 2,Metodo 3,Metodo 4,Metodo 5,Metodo 6,Metodo 7,Metodo 8,Metodo 9,Metodo 10,Metodo 11,Metodo 12,Metodo 13,Metodo 14,Metodo 15,Metodo 16,Metodo 17,Metodo 18,Metodo 19,Metodo 20,Metodo 21,Metodo 22,Score Global
"(compactness error, concavity error, mean smoothness)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.639273
"(compactness error, concavity error, mean symmetry)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.621704
"(compactness error, concavity error, perimeter error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.791327
"(compactness error, concavity error, radius error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,0.77641
"(compactness error, concavity error, smoothness error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.605883
"(compactness error, concavity error, texture error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.547819
"(compactness error, mean area)",No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.854552
"(compactness error, mean area, mean perimeter)",No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,0.858881
"(compactness error, mean area, mean radius)",No,No,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,0.854917
"(compactness error, mean area, mean texture)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,0.876763
"(compactness error, mean area, perimeter error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.868355
"(compactness error, mean compactness)",No,No,No,No,Si,No,Si,No,No,No,Si,No,No,No,No,No,No,Si,Si,Si,Si,No,0.821189
"(compactness error, mean compactness, mean concave points)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Si,No,0.89216
"(compactness error, mean compactness, mean concavity)",No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,0.881268
"(compactness error, mean compactness, mean fractal dimension)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0.884981
"(compactness error, mean compactness, mean perimeter)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.902488
"(compactness error, mean compactness, mean symmetry)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.823542
"(compactness error, mean compactness, texture error)",No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,0.827976
"(compactness error, mean concave points)",No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,0.902429
"(compactness error, mean concave points, mean concavity)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.897967
"(compactness error, mean concave points, mean perimeter)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,0.90948
"(compactness error, mean concave points, mean radius)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.90948
"(compactness error, mean concave points, mean symmetry)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.896073
"(compactness error, mean concave points, mean texture)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.93023
"(compactness error, mean concave points, perimeter error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.89471
